"Web Search interest: ""ankle exercise""+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles""",
Canada; 2004 - present,
,
Interest over time,
Month,"ankle exercise+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,72
2010-02,85
2010-03,98
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,59
2011-04,58
2011-05,58
2011-06,58
2011-07,66
2011-08,97
2011-09,42
2011-10,42
2011-11,42
2011-12,42
2012-01,42
2012-02,48
2012-03,50
2012-04,74
2012-05,98
2012-06,75
2012-07,75
2012-08,56
2012-09,38
2012-10,38
2012-11,66
2012-12,43
2013-01,35
2013-02,66
2013-03,53
2013-04,63
2013-05,79
2013-06,100
2013-07,43
2013-08,53
2013-09,69
2013-10,57
2013-11,43
2013-12,59
2014-01,60
2014-02,80
2014-03,83
2014-04,69
2014-05,80
2014-06,71
2014-07,73
2014-08,62
2014-09,62
2014-10,91
2014-11,50
2014-12,0
,
,
"Top subregions for ""ankle exercise""+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles""",
Subregion,"ankle exercise+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles"""
Ontario,100
Alberta,97
British Columbia,92
Manitoba,0
New Brunswick,0
Newfoundland and Labrador,0
Nova Scotia,0
Northwest Territories,0
Nunavut,0
Prince Edward Island,0
Quebec,0
Saskatchewan,0
Yukon Territory,0
,
,
"Top cities for ""ankle exercise""+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles""",
City,"ankle exercise+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles"""
Toronto,100
,
,
,
"Top searches for ""ankle exercise""+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles""",
ankle exercises strengthening,100
,
,
,
"Rising searches for ""ankle exercise""+""ankle exercises""+""exercises for ankle""+""exercises for ankles""+""ankle strengthening""+""strengthening ankle""+""strengthening ankles""+""strengthen ankle""+""strengthen ankles""",
ankle exercises strengthening,Breakout
