"Web Search interest: ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
Canada; 2004 - present,
,
Interest over time,
Month,"ankle surgery+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,89
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,84
2010-11,84
2010-12,56
2011-01,56
2011-02,60
2011-03,63
2011-04,64
2011-05,66
2011-06,65
2011-07,65
2011-08,65
2011-09,65
2011-10,66
2011-11,68
2011-12,70
2012-01,67
2012-02,87
2012-03,66
2012-04,47
2012-05,54
2012-06,61
2012-07,48
2012-08,56
2012-09,50
2012-10,52
2012-11,54
2012-12,51
2013-01,41
2013-02,43
2013-03,70
2013-04,69
2013-05,71
2013-06,55
2013-07,57
2013-08,92
2013-09,38
2013-10,53
2013-11,60
2013-12,80
2014-01,79
2014-02,50
2014-03,67
2014-04,46
2014-05,100
2014-06,67
2014-07,65
2014-08,55
2014-09,65
2014-10,45
2014-11,39
2014-12,0
,
,
"Top subregions for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
Subregion,"ankle surgery+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles"""
British Columbia,100
Ontario,94
Alberta,91
Manitoba,0
New Brunswick,0
Newfoundland and Labrador,0
Nova Scotia,0
Northwest Territories,0
Nunavut,0
Prince Edward Island,0
Quebec,0
Saskatchewan,0
Yukon Territory,0
,
,
"Top cities for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
City,"ankle surgery+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles"""
Toronto,100
,
,
,
"Top searches for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
ankle replacement surgery,100
ankle surgery recovery,100
broken ankle,85
,
,
,
"Rising searches for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
ankle replacement surgery,Breakout
ankle surgery recovery,Breakout
broken ankle,Breakout
