"Web Search interest: ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
United Kingdom; 2004 - present,
,
Interest over time,
Month,"ankle surgery+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,73
2008-02,87
2008-03,83
2008-04,83
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,66
2009-03,59
2009-04,59
2009-05,59
2009-06,69
2009-07,57
2009-08,59
2009-09,61
2009-10,64
2009-11,66
2009-12,48
2010-01,48
2010-02,52
2010-03,56
2010-04,60
2010-05,63
2010-06,61
2010-07,51
2010-08,80
2010-09,64
2010-10,56
2010-11,62
2010-12,68
2011-01,58
2011-02,44
2011-03,47
2011-04,55
2011-05,73
2011-06,34
2011-07,72
2011-08,56
2011-09,49
2011-10,92
2011-11,42
2011-12,53
2012-01,57
2012-02,68
2012-03,52
2012-04,55
2012-05,91
2012-06,79
2012-07,82
2012-08,96
2012-09,64
2012-10,76
2012-11,71
2012-12,75
2013-01,69
2013-02,60
2013-03,53
2013-04,47
2013-05,72
2013-06,53
2013-07,73
2013-08,73
2013-09,55
2013-10,87
2013-11,71
2013-12,71
2014-01,90
2014-02,84
2014-03,74
2014-04,89
2014-05,73
2014-06,88
2014-07,80
2014-08,82
2014-09,76
2014-10,83
2014-11,72
2014-12,100
,
,
"Top subregions for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
Subregion,"ankle surgery+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles"""
England,100
Northern Ireland,0
Scotland,0
Wales,0
,
,
"Top cities for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
City,"ankle surgery+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles"""
London,100
,
,
,
"Top searches for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
ankle replacement surgery,100
ankle surgery recovery,80
,
,
,
"Rising searches for ""ankle surgery""+""surgery on ankle""+""surgery on ankles""+""ankle operation""+""ankle replacement""+""surgical operation ankle""+""surgical operation ankles""",
ankle replacement surgery,Breakout
ankle surgery recovery,Breakout
