"Web Search interest: ""foot exercise""+""foot exercises""+""feet exercise""+""feet exercises""+""exercises for feet""+""exercise for feet""+""exercises for foot""+""exercise for foot""",
United Kingdom; 2004 - present,
,
Interest over time,
Month,"foot exercise+""foot exercises""+""feet exercise""+""feet exercises""+""exercises for feet""+""exercise for feet""+""exercises for foot""+""exercise for foot"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,65
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,71
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,50
2012-04,70
2012-05,59
2012-06,59
2012-07,59
2012-08,54
2012-09,54
2012-10,54
2012-11,54
2012-12,54
2013-01,55
2013-02,44
2013-03,44
2013-04,77
2013-05,52
2013-06,50
2013-07,59
2013-08,50
2013-09,50
2013-10,38
2013-11,38
2013-12,85
2014-01,69
2014-02,61
2014-03,44
2014-04,100
2014-05,84
2014-06,96
2014-07,76
2014-08,68
2014-09,74
2014-10,74
2014-11,78
2014-12,0
,
,
"Top subregions for ""foot exercise""+""foot exercises""+""feet exercise""+""feet exercises""+""exercises for feet""+""exercise for feet""+""exercises for foot""+""exercise for foot""",
Subregion,"foot exercise+""foot exercises""+""feet exercise""+""feet exercises""+""exercises for feet""+""exercise for feet""+""exercises for foot""+""exercise for foot"""
England,100
Northern Ireland,0
Scotland,0
Wales,0
,
,
"Top cities for ""foot exercise""+""foot exercises""+""feet exercise""+""feet exercises""+""exercises for feet""+""exercise for feet""+""exercises for foot""+""exercise for foot""",
City,"foot exercise+""foot exercises""+""feet exercise""+""feet exercises""+""exercises for feet""+""exercise for feet""+""exercises for foot""+""exercise for foot"""
London,100
