"Web Search interest: ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
Canada; 2004 - present,
,
Interest over time,
Month,"foot orthotic+""foot orthotics""+""foot orthosis""+""foot orthoses"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,76
2010-12,57
2011-01,57
2011-02,57
2011-03,57
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,61
2012-03,80
2012-04,100
2012-05,49
2012-06,87
2012-07,58
2012-08,58
2012-09,58
2012-10,58
2012-11,63
2012-12,46
2013-01,45
2013-02,59
2013-03,49
2013-04,65
2013-05,43
2013-06,43
2013-07,62
2013-08,46
2013-09,48
2013-10,53
2013-11,58
2013-12,52
2014-01,52
2014-02,45
2014-03,45
2014-04,42
2014-05,48
2014-06,63
2014-07,77
2014-08,91
2014-09,72
2014-10,42
2014-11,42
2014-12,0
,
,
"Top subregions for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
Subregion,"foot orthotic+""foot orthotics""+""foot orthosis""+""foot orthoses"""
Alberta,100
Ontario,92
British Columbia,87
Manitoba,0
New Brunswick,0
Newfoundland and Labrador,0
Nova Scotia,0
Northwest Territories,0
Nunavut,0
Prince Edward Island,0
Quebec,0
Saskatchewan,0
Yukon Territory,0
,
,
"Top cities for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
City,"foot orthotic+""foot orthotics""+""foot orthosis""+""foot orthoses"""
Toronto,100
,
,
,
"Top searches for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
ankle foot orthosis,100
,
,
,
"Rising searches for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
ankle foot orthosis,Breakout
